year,type,gender,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2015,NativeMuslims,male,42000,42250,42500,42750,43000,43250,43500,43750,44000,44250,44500,44750,45000,45250,45500,45750,46000,46250,46500,45750,45000,44250,43500,42750,42000,41250,40500,39750,39000,38250,37500,36750,36000,35250,34500,33750,33000,32250,31500,30750,30000,29250,28500,27750,27000,26250,25500,24750,24000,23250,22500,21750,21000,20250,19500,18750,18000,17250,16500,15750,15000,14250,13500,12750,12000,11250,10500,9750,9000,8250,7500,6750,6000,5250,4500,3750,3000,2250,1500,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,NativeMuslims,female,42000,42250,42500,42750,43000,43250,43500,43750,44000,44250,44500,44750,45000,45250,45500,45750,46000,46250,46500,45750,45000,44250,43500,42750,42000,41250,40500,39750,39000,38250,37500,36750,36000,35250,34500,33750,33000,32250,31500,30750,30000,29250,28500,27750,27000,26250,25500,24750,24000,23250,22500,21750,21000,20250,19500,18750,18000,17250,16500,15750,15000,14250,13500,12750,12000,11250,10500,9750,9000,8250,7500,6750,6000,5250,4500,3750,3000,2250,1500,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,NativeNonMuslims,male,340551,337851,325286,324012,316093,324648,318774,327628,326501,319489,323839,332316,332366,338988,349459,368680,377269,387197,413032,413042,409777,418395,436467,447554,468875,522844,514939,532128,520651,509403,492764,489461,489713,501095,494036,496821,470981,465001,461718,451509,440864,445988,450108,492684,546664,568598,615479,646335,664363,684020,687958,700191,693227,668398,656053,631805,613174,577073,561453,542736,521080,505134,484535,481301,469708,467186,450101,408878,379193,326214,280018,374646,376470,359376,426861,437382,417883,376793,336794,309567,281699,243568,180373,163714,150123,139960,119675,102853,79586,62456,48340,33585,25062,19574,14452,10102,5420,2225,1439,981,,
2015,NativeNonMuslims,female,320170,317727,305322,304245,297289,305715,298942,308238,305951,298528,303860,311882,311615,316803,324538,342035,342025,351345,367139,367700,365082,376019,394588,407529,428592,476164,473668,487449,478800,474135,460519,460453,464561,477625,477633,481644,458704,452309,448810,441747,429589,438306,443576,483087,534222,556232,598614,628831,647607,666125,667954,682526,678283,658502,651673,630091,612592,578571,566459,552186,537816,531463,516108,515454,504457,503858,484842,440077,414014,360021,318116,424668,429355,414448,505235,529433,517075,474142,435466,412863,387957,347107,268040,255410,246421,243846,219512,197552,169661,151599,132431,106525,86000,70114,56848,41676,23850,10673,7049,5246,
